"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.250333700E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.757375400E-2,-3.748035431E-2,2.354896069E-2,1.204204559E-2,4.587310073E-2
6.264297300E-2,1.521205902E-2,5.349475145E-2,5.692815781E-2,7.958586761E-2
6.771333700E-2,5.131292343E-2,5.928909779E-2,6.978178024E-2,1.049652804E-1
7.278370200E-2,1.056141853E-1,1.984030008E-2,9.913539886E-2,1.462047228E-1
7.785406600E-2,1.283354759E-1,-7.157802582E-3,1.147375107E-1,1.722960385E-1
8.292891000E-2,1.125283241E-1,-4.301434755E-2,9.225416183E-2,1.517355865E-1
8.799953500E-2,1.870841980E-1,-7.435280085E-2,8.794307709E-2,2.196880082E-1
9.307010800E-2,2.106723785E-1,-2.473336458E-2,4.589748383E-2,2.170280383E-1
9.814068100E-2,1.851944923E-1,5.391418934E-3,6.071090698E-3,1.853723969E-1
1.032141180E-1,1.674122810E-1,2.816712856E-2,-5.008745193E-2,1.770000334E-1
1.082848480E-1,1.252045631E-1,-2.219456434E-2,-1.109790802E-2,1.276399032E-1
1.133555770E-1,4.079437256E-2,-4.139435291E-2,-2.734375000E-2,6.422891833E-2
1.184263580E-1,1.614475250E-2,-7.084965706E-2,-5.391263962E-2,9.048148788E-2
1.234775560E-1,1.137542725E-2,-6.520038843E-2,-1.118006706E-1,1.299225960E-1
1.285472950E-1,-2.089881897E-2,-5.697304010E-2,-1.478204727E-1,1.597923030E-1
1.336170870E-1,-1.577854156E-3,-5.959612131E-2,-1.194357872E-1,1.334881814E-1
1.386868270E-1,4.219532013E-3,-9.035468102E-3,-6.249046326E-2,6.328113567E-2
1.437275040E-1,-4.954814911E-3,9.376525879E-3,-3.379487991E-2,3.541981559E-2
1.487958370E-1,-2.176284790E-3,1.457977295E-2,7.172727585E-2,7.322641665E-2
1.538641180E-1,3.391504288E-2,1.044583321E-2,3.728008270E-2,5.146989539E-2
1.589324520E-1,8.944177628E-2,1.775914431E-2,7.245111465E-2,1.164662293E-1
1.639843270E-1,1.202955246E-1,4.981034994E-2,1.857433319E-1,2.268318089E-1
1.690362020E-1,1.987133026E-1,5.390602350E-2,2.825498581E-1,3.496101519E-1
1.740880770E-1,2.690558434E-1,7.494258881E-2,3.189334869E-1,4.239410425E-1
1.791399520E-1,3.523635864E-1,8.722341061E-2,3.736209869E-1,5.209228948E-1
1.841918270E-1,4.378924370E-1,7.013666630E-2,3.919558525E-1,5.918600583E-1
1.892437020E-1,4.483723640E-1,8.595472574E-2,4.283909798E-1,6.260549682E-1
1.942955770E-1,4.498744011E-1,1.035218239E-1,4.374036789E-1,6.359447485E-1
1.993474520E-1,5.085592270E-1,8.666855097E-2,4.037790298E-1,6.551194014E-1
2.043993270E-1,5.786156654E-1,4.920822382E-2,3.369212151E-1,6.713668466E-1
2.094512020E-1,5.856895447E-1,-3.029656410E-2,2.966690063E-1,6.572386354E-1
2.145030770E-1,6.222472191E-1,-1.532304883E-1,2.495794296E-1,6.877216558E-1
2.195549520E-1,6.700296402E-1,-2.184012532E-1,3.433938026E-1,7.839375803E-1
2.246068270E-1,6.637001038E-1,-2.936639786E-1,4.112553596E-1,8.341866283E-1
2.296587020E-1,6.592855453E-1,-3.450142145E-1,4.379205704E-1,8.634041142E-1
2.347105770E-1,6.437692642E-1,-3.717257977E-1,5.692257881E-1,9.362889148E-1
2.397624520E-1,7.189531326E-1,-3.860567510E-1,5.633878708E-1,9.916346680E-1
2.448143270E-1,7.227139473E-1,-3.849079609E-1,5.184073448E-1,9.691314478E-1
2.498662020E-1,7.514266968E-1,-3.523157537E-1,4.643440247E-1,9.509909801E-1
2.549180770E-1,8.209257126E-1,-3.089219630E-1,3.229303360E-1,9.346848703E-1
2.599699520E-1,8.318753242E-1,-2.644374371E-1,1.583180428E-1,8.871348916E-1
2.650218270E-1,8.056411743E-1,-2.388943434E-1,-4.795551300E-3,8.403280350E-1
2.700737020E-1,8.191742897E-1,-1.699050069E-1,-1.480202675E-1,8.496023940E-1
2.751255770E-1,7.791380882E-1,-1.179617643E-1,-3.212084770E-1,8.509676986E-1
2.801774520E-1,7.416110039E-1,-1.086505055E-1,-4.148111343E-1,8.566563433E-1
2.852293270E-1,7.239418030E-1,-9.904295206E-2,-5.183610916E-1,8.958791558E-1
2.902812020E-1,6.352581978E-1,-6.682771444E-2,-5.975408554E-1,8.746850834E-1
2.953330770E-1,5.589075089E-1,-6.029349566E-2,-5.822792053E-1,8.093589945E-1
3.003849520E-1,4.684219360E-1,3.198087215E-3,-5.291576385E-1,7.067086701E-1
3.054368270E-1,3.872756958E-1,5.819064379E-2,-4.819989204E-1,6.210407192E-1
3.104887020E-1,2.823557854E-1,1.144266129E-1,-4.383196831E-1,5.337999474E-1
3.155405770E-1,2.339353561E-1,1.709392071E-1,-3.404107094E-1,4.470183603E-1
3.205924520E-1,1.421003342E-1,1.586042047E-1,-2.772192955E-1,3.495687865E-1
3.256443270E-1,3.696632385E-2,1.327978969E-1,-2.033691406E-1,2.456843460E-1
3.306962020E-1,-7.166385651E-3,1.267423034E-1,-1.272621155E-1,1.797515357E-1
3.357480770E-1,-7.580757141E-2,9.882533550E-2,-1.152305603E-1,1.696800426E-1
3.407999520E-1,-2.186884880E-1,8.808720112E-2,-1.621804237E-1,2.861581724E-1
3.458518270E-1,-2.931861877E-1,1.106444597E-1,-1.873087883E-1,3.650820720E-1
3.509037020E-1,-3.498549461E-1,7.869273424E-2,-1.616930962E-1,3.933645728E-1
3.559555770E-1,-3.762960434E-1,-2.156555653E-3,-7.874202728E-2,3.844524286E-1
3.610074520E-1,-4.011950493E-1,-2.384334803E-2,-1.840019226E-2,4.023239241E-1
3.660593270E-1,-4.210271835E-1,-2.858245373E-2,6.094598770E-2,4.263745529E-1
3.711112020E-1,-4.619545937E-1,-3.418004513E-2,7.790803909E-2,4.697233065E-1
3.761630770E-1,-5.425329208E-1,-4.058879614E-2,1.348714828E-1,5.605173837E-1
3.812149520E-1,-5.853662491E-1,-6.659311056E-2,1.720747948E-1,6.137572997E-1
3.862668270E-1,-6.407847404E-1,-4.825812578E-2,3.021774292E-1,7.101021962E-1
3.913187020E-1,-6.069402695E-1,-1.005960703E-1,3.702077866E-1,7.180180118E-1
3.963705770E-1,-5.983109474E-1,-1.389306188E-1,3.698372841E-1,7.169779099E-1
4.014224520E-1,-5.909466743E-1,-1.385892034E-1,3.634901047E-1,7.074955798E-1
4.064743270E-1,-6.297836304E-1,-1.602179408E-1,3.525667191E-1,7.393243544E-1
4.115262020E-1,-6.255903244E-1,-2.154722214E-1,3.075432777E-1,7.296399111E-1
4.165780770E-1,-6.452183723E-1,-2.509849668E-1,2.148108482E-1,7.248750941E-1
4.216299520E-1,-6.447262764E-1,-2.551884055E-1,1.566357613E-1,7.108641611E-1
4.266818270E-1,-6.571602821E-1,-2.452232242E-1,4.344701767E-2,7.027671801E-1
4.317337020E-1,-6.161289215E-1,-1.846629381E-1,-1.418576241E-1,6.586644321E-1
4.367855770E-1,-6.322050095E-1,-1.714431643E-1,-2.082023621E-1,6.873311838E-1
4.418374520E-1,-5.545501709E-1,-1.339222789E-1,-1.558685303E-1,5.914017818E-1
4.468893270E-1,-4.812455177E-1,-6.868267059E-2,-2.477169037E-1,5.455989571E-1
4.519412020E-1,-4.251580238E-1,4.851996899E-3,-2.881221771E-1,5.136119898E-1
4.569930770E-1,-4.226136208E-1,2.872949839E-2,-3.109927177E-1,5.254941741E-1
4.620449520E-1,-3.865284920E-1,2.985090017E-2,-4.301686287E-1,5.790858317E-1
4.670968270E-1,-2.877292633E-1,-3.070551157E-2,-4.646677971E-1,5.474003280E-1
4.721487020E-1,-2.396974564E-1,-7.753884792E-2,-4.055495262E-1,4.774280697E-1
4.772005770E-1,-1.902103424E-1,-1.282790303E-1,-3.573555946E-1,4.246628133E-1
4.822524520E-1,-2.376708984E-1,-1.628003716E-1,-3.031740189E-1,4.182175303E-1
4.873043270E-1,-3.182759285E-1,-1.597784758E-1,-2.654561996E-1,4.441798306E-1
4.923562020E-1,-4.093647003E-1,-1.230387688E-1,-2.508163452E-1,4.956075418E-1
4.974080770E-1,-5.345773697E-1,-1.147953868E-1,-3.241014481E-1,6.356041957E-1
5.024599520E-1,-6.284132004E-1,-9.010171890E-2,-3.600711823E-1,7.298443166E-1
5.075118270E-1,-7.113852501E-1,-8.106261492E-2,-3.840026855E-1,8.124642663E-1
5.125637020E-1,-7.787909508E-1,-2.380251884E-3,-3.630299568E-1,8.592506969E-1
5.176155770E-1,-8.164148331E-1,7.170939445E-2,-3.002543449E-1,8.728276397E-1
5.226674520E-1,-9.071764946E-1,1.424840689E-1,-2.333178520E-1,9.474746025E-1
5.277193270E-1,-9.957513809E-1,1.351596117E-1,-1.981935501E-1,1.024240995E0
5.327712020E-1,-1.009693623E0,1.274391413E-1,-3.014903069E-1,1.061422796E0
5.378230770E-1,-9.189023972E-1,8.587741852E-2,-4.198207855E-1,1.013906326E0
5.428749520E-1,-8.037981987E-1,7.016938925E-2,-3.456587791E-1,8.777786048E-1
5.479268270E-1,-7.630429268E-1,6.488519907E-2,-1.673860550E-1,7.838767050E-1
5.529787020E-1,-6.654381752E-1,6.437695026E-2,-7.212257385E-2,6.724239901E-1
5.580305770E-1,-5.920553207E-1,5.460917950E-2,-9.470653534E-2,6.020639444E-1
5.630824520E-1,-5.660877228E-1,9.376525879E-3,-1.774621010E-1,5.933262394E-1
5.681343270E-1,-5.504412651E-1,2.855163813E-2,-1.951074600E-1,5.846945385E-1
5.731862020E-1,-5.180249214E-1,-2.058982849E-3,-1.644291878E-1,5.434988651E-1
5.782380770E-1,-5.371613503E-1,5.081927776E-2,-1.242923737E-1,5.536908066E-1
5.832899520E-1,-6.693282127E-1,3.479045630E-2,-2.072515488E-1,7.015438951E-1
5.883418270E-1,-7.570300102E-1,-2.578544617E-2,-2.683925629E-1,8.036130247E-1
5.933937020E-1,-8.021001816E-1,-1.056326628E-1,-2.850937843E-1,8.577886841E-1
5.984455770E-1,-8.357262611E-1,-1.656591892E-1,-3.172268867E-1,9.091282903E-1
6.034974520E-1,-7.760429382E-1,-1.233046055E-1,-2.876863480E-1,8.367855774E-1
6.085493270E-1,-6.757845879E-1,-1.596969366E-2,-2.947311401E-1,7.374322242E-1
6.136012020E-1,-4.887208939E-1,7.366472483E-2,-3.230247498E-1,5.904401686E-1
6.186530770E-1,-3.196573257E-1,1.374429464E-1,-3.752932549E-1,5.117776828E-1
6.237049520E-1,-3.312454224E-1,1.696766615E-1,-4.071502686E-1,5.516203771E-1
6.287568270E-1,-3.630681038E-1,1.363083720E-1,-3.186969757E-1,5.019623319E-1
6.338087020E-1,-3.984341621E-1,9.607070684E-2,-3.292989731E-1,5.257539120E-1
6.388605770E-1,-4.551653862E-1,1.214438677E-1,-4.107556343E-1,6.250154661E-1
6.439124520E-1,-5.177001953E-1,1.475692987E-1,-5.066280365E-1,7.392307877E-1
6.489643270E-1,-5.881867409E-1,1.851702929E-1,-5.457949638E-1,8.234948828E-1
6.540162020E-1,-5.752391815E-1,1.797841191E-1,-6.722402573E-1,9.028451744E-1
6.590680770E-1,-6.102671623E-1,2.090331316E-1,-7.187676430E-1,9.657886850E-1
6.641199520E-1,-6.344671249E-1,2.537004948E-1,-7.670726776E-1,1.027284268E0
6.691718270E-1,-6.964354515E-1,2.958233356E-1,-8.292703629E-1,1.122596597E0
6.742237020E-1,-7.340383530E-1,2.878851295E-1,-8.910713196E-1,1.189831185E0
6.792755770E-1,-8.078651428E-1,2.364690900E-1,-8.671698570E-1,1.208531042E0
6.843274520E-1,-7.986550331E-1,2.415554523E-1,-7.870464325E-1,1.147013943E0
6.893793270E-1,-7.853512764E-1,2.135480642E-1,-7.297430038E-1,1.093116762E0
6.944312020E-1,-7.201929092E-1,1.621199846E-1,-6.954488754E-1,1.014204050E0
6.994830770E-1,-6.013674736E-1,1.240981221E-1,-6.624484062E-1,9.032613537E-1
7.045349520E-1,-5.018768311E-1,6.838965416E-2,-5.581593513E-1,7.537236628E-1
7.095868270E-1,-4.179844856E-1,-9.506404400E-3,-3.617935181E-1,5.528977769E-1
7.146387020E-1,-3.924946785E-1,-5.121642351E-2,-3.256831169E-1,5.125862731E-1
7.196905770E-1,-4.346957207E-1,-3.802692890E-2,-3.198680878E-1,5.410379011E-1
7.247424520E-1,-4.776511192E-1,-3.203147650E-2,-3.023228645E-1,5.661940671E-1
7.297943270E-1,-4.711875916E-1,2.501106262E-2,-3.317093849E-1,5.767793475E-1
7.348462020E-1,-4.417858124E-1,3.520292044E-2,-2.972693443E-1,5.336506467E-1
7.398980770E-1,-4.431381226E-1,2.485156059E-3,-3.384323120E-1,5.575966297E-1
7.449499520E-1,-3.525199890E-1,4.488313198E-2,-4.119653702E-1,5.440591001E-1
7.500018270E-1,-2.005081177E-1,9.050786495E-2,-3.190999031E-1,3.875821552E-1
7.550537020E-1,-4.731845856E-2,4.099506140E-2,-2.163662910E-1,2.252420997E-1
7.601055770E-1,6.625366211E-2,-2.066624165E-2,-1.828656197E-1,1.955926280E-1
7.651574520E-1,1.109395027E-1,-5.294287205E-2,-1.231470108E-1,1.739991587E-1
7.702093270E-1,8.734226227E-2,-8.229762316E-2,-6.479835510E-2,1.363832702E-1
7.752612020E-1,2.870645523E-1,-2.523263693E-1,6.014580727E-1,7.126194405E-1
7.803130770E-1,-1.650047302E-1,-9.982526302E-2,4.726753235E-1,5.105032865E-1
7.853649520E-1,-1.686654091E-1,1.940671802E-1,-1.857120514E0,1.874835111E0
7.904168270E-1,-2.951469421E-1,-3.175831437E-1,-9.066276550E-1,1.004959937E0
7.954687020E-1,-4.869203568E-1,-2.290844321E-1,-8.064212799E-1,9.694773806E-1
8.005205770E-1,-5.177860260E-1,-1.070181131E-1,-1.166591644E0,1.280816657E0
8.055724520E-1,-6.016101837E-1,-4.790753126E-2,-1.382429123E0,1.508423092E0
8.106243270E-1,-7.473115921E-1,1.774775982E-2,-1.496881962E0,1.673154269E0
8.156762020E-1,-8.856024742E-1,1.670207977E-1,-1.529668808E0,1.775408221E0
8.207280770E-1,-1.060418606E0,1.586712003E-1,-1.525431156E0,1.864565467E0
8.257799520E-1,-1.122521400E0,5.301934481E-2,-1.457814693E0,1.840676241E0
